epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
58,3740.63,0.9829,1.48846,0.6027,0.98715,0.86664,0.59838,0.69563,0.41151,0.85232,0.5823,0.65322,0.36301,1.05087,2.07408,0.79856,1.05098,0.00103987,0.00103987,0.00103987
59,3804.87,0.99607,1.49414,0.61858,0.98714,0.9173,0.60639,0.69399,0.41479,0.90431,0.59787,0.68373,0.36639,1.07942,1.99944,0.82101,1.07003,0.00102887,0.00102887,0.00102887
60,3869.13,1.01205,1.52183,0.60522,0.98346,0.76005,0.64208,0.69686,0.41545,0.75122,0.6347,0.67007,0.36406,1.07635,2.00121,0.72955,1.05697,0.00101787,0.00101787,0.00101787
61,3933.63,0.99267,1.51986,0.59848,0.99131,0.81448,0.6444,0.72559,0.4247,0.79303,0.62509,0.6692,0.35981,1.08352,2.04648,0.7317,1.05588,0.00100687,0.00100687,0.00100687
62,3997.99,0.99598,1.51785,0.59637,0.98155,0.77378,0.67437,0.70874,0.42691,0.85357,0.62176,0.70425,0.36467,1.04795,2.01125,0.72687,1.04682,0.000995866,0.000995866,0.000995866
63,4062.63,0.95803,1.42002,0.5742,0.97622,0.88336,0.62851,0.70115,0.41835,0.86864,0.6183,0.68869,0.35933,1.06175,2.03735,0.77907,1.064,0.000984864,0.000984864,0.000984864
64,4126.71,0.99174,1.44977,0.58794,0.98417,0.86967,0.63758,0.70172,0.42368,0.85668,0.62794,0.68855,0.36991,1.0964,2.12622,0.7959,1.06798,0.000973861,0.000973861,0.000973861
65,4191.16,1.00208,1.46402,0.58641,0.98629,0.8758,0.62113,0.73301,0.4309,0.87036,0.62339,0.69765,0.35744,1.08302,1.9881,0.7375,1.06019,0.000962859,0.000962859,0.000962859
66,4255.25,0.94965,1.40259,0.56725,0.98058,0.89943,0.62622,0.73785,0.435,0.88029,0.61259,0.71576,0.3874,1.05522,2.01707,0.75909,1.04558,0.000951857,0.000951857,0.000951857
67,4319.52,0.99725,1.48511,0.59874,0.9912,0.87779,0.62466,0.72518,0.44299,0.87099,0.62226,0.71215,0.38481,1.08166,2.00603,0.74712,1.05405,0.000940855,0.000940855,0.000940855
68,4384.01,0.95619,1.41581,0.56642,0.97381,0.86542,0.62609,0.71187,0.42847,0.85106,0.61594,0.68753,0.38329,1.04948,2.02241,0.76163,1.04116,0.000929853,0.000929853,0.000929853
69,4448.32,0.97635,1.4636,0.57531,0.97984,0.89019,0.61879,0.70769,0.42847,0.88299,0.6137,0.68511,0.36821,1.04542,2.02894,0.74083,1.03941,0.00091885,0.00091885,0.00091885
70,4512.66,0.96747,1.45686,0.57568,0.97685,0.83147,0.6495,0.71936,0.43609,0.82234,0.64497,0.69424,0.38015,1.06255,2.01824,0.6963,1.05713,0.000907848,0.000907848,0.000907848
71,4576.88,0.94618,1.37814,0.56602,0.9759,0.8532,0.62707,0.70225,0.41452,0.84247,0.61779,0.67654,0.36787,1.07655,2.02735,0.78529,1.06697,0.000896846,0.000896846,0.000896846
72,4641.32,0.95572,1.42332,0.57106,0.97281,0.84194,0.61551,0.70003,0.42111,0.84431,0.61201,0.67988,0.36708,1.08867,2.04907,0.72237,1.05272,0.000885844,0.000885844,0.000885844
73,4705.22,0.94621,1.39083,0.55728,0.97316,0.87306,0.6285,0.7262,0.44112,0.88092,0.61088,0.69002,0.37736,1.0792,1.94921,0.66731,1.05651,0.000874842,0.000874842,0.000874842
74,4769.52,0.95737,1.44024,0.5666,0.97057,0.87143,0.64254,0.71852,0.42304,0.86307,0.60463,0.68063,0.35281,1.05787,2.00497,0.73643,1.04918,0.000863839,0.000863839,0.000863839
75,4833.96,0.94537,1.428,0.55491,0.9596,0.89124,0.62377,0.70807,0.43235,0.87756,0.61107,0.683,0.37168,1.01896,1.9893,0.74946,1.03372,0.000852837,0.000852837,0.000852837
